name,carbs,sugar,s_fat,discounted price,kcal,url,fat,categorys,protein,original price,salt,amount
"ŽEMAITIJOS šaltibarščių kefyras, 5 % rieb., 900 g",4.6,3.8,3.5,1.1,76.0,https://www.barbora.lt/produktai/zemaitijos-saltibarsciu-kefyras-5-proc-rieb-900-g,5.0,"Pieno gaminiai ir kiaušiniai	Kefyras, rūgpienis ir pasukos	Kefyras ir kefyro gėrimai",3.2,1.39,0.1,900
"Apelsinų sultys MAXIMA FAVORIT, 1 l",8.7,8.7,0.1,0.62,42.0,https://www.barbora.lt/produktai/apelsinu-sultys-maxima-favorit-1-l,0.1,"Gėrimai	Sultys, nektarai ir sulčių gėrimai	Sultys",0.7,0.89,0.01,1000
"BEATOS VIRTUVĖS užšaldyti koldūnai su kiauliena, 800 g",28.8,1.0,5.7,nan,328.4,https://www.barbora.lt/produktai/beatos-virtuves-uzsaldyti-koldunai-su-kiauliena-800-g,17.2,Šaldytas maistas	Šaldyti kulinarijos ir konditerijos gaminiai	Koldūnai ir virtiniai,8.7,4.89,0.9,800
"DARŽOVINĖ sumuštinių duona su pastarnokais, 450 g",49.0,1.5,0.35,nan,264.0,https://www.barbora.lt/produktai/darzovine-sumustiniu-duona-su-pastarnokais-450-g,2.9,Duonos gaminiai ir konditerija	Duona	Sumuštinių duona ir duonelės,9.5,1.49,1.0,450
"EKO jogurtas MIAU su mangais, 3,2% rieb., 125 g",13.5,12.9,2.1,nan,100.0,https://www.barbora.lt/produktai/eko-jogurtas-miau-su-mangais-3-2-proc-rieb-125-g,3.2,Pieno gaminiai ir kiaušiniai	Jogurtai ir desertai	Jogurtai su pagardais,4.1,0.53,0.1,125
"Pienas AUGA EKO ,3,5% riebumo, 1 l",4.7,4.7,2.3,nan,63.0,https://www.barbora.lt/produktai/pienas-auga-eko-3-5-proc-riebumo-1-l,3.5,Pieno gaminiai ir kiaušiniai	Pienas	Ilgo galiojimo pienas,3.1,1.49,0.1,1000
"Miško uogų skonio jogurtinis gėrimas ACTIMEL, 1,5% rieb., 400 g",12.0,11.9,1.0,nan,77.0,https://www.barbora.lt/produktai/misko-uogu-skonio-jogurtinis-gerimas-actimel-1-5-proc-rieb-400-g,1.5,Pieno gaminiai ir kiaušiniai	Pienas	Pieno ir probiotiniai gėrimai,2.8,1.69,0.1,400
"Belg. šok. glaistytas varšk. sūrelis su kokosais PASAKA 21%, 45 g",24.7,23.7,12.3,nan,332.0,https://www.barbora.lt/produktai/belg-sok-glaistytas-varsk-surelis-su-kokosais-pasaka-21-proc-45-g,21.0,Pieno gaminiai ir kiaušiniai	Varškės produktai	Glaistyti varškės sūreliai,12.0,0.44,0.1,45
"SENOLIŲ grietinėlė, 13%, 250 g",3.6,3.2,6.2,nan,140.0,https://www.barbora.lt/produktai/senoliu-grietinele-13-proc-250-g,13.0,Pieno gaminiai ir kiaušiniai	Grietinė ir grietinėlė	Grietinėlė,2.8,0.99,0.1,250
"Migdolų gėrimas VALSOJA su kalciu ir vitaminais, 1 l",3.2,3.0,0.2,1.59,25.0,https://www.barbora.lt/produktai/migdolu-gerimas-valsoja-su-kalciu-ir-vitaminais-1-l,1.1,Pieno gaminiai ir kiaušiniai	Produktai be laktozės	Pienas ir gėrimai be laktozės,0.4,1.99,0.1,1000
"Gl.VILKYŠKIŲ varšk.sūr.vanilės sk.30%rieb. su mažiau cukrų, 40 g",16.8,14.7,21.1,nan,369.0,https://www.barbora.lt/produktai/gl-vilkyskiu-varsk-sur-vaniles-sk-30-procrieb-su-maziau-cukru-40-g,30.4,Pieno gaminiai ir kiaušiniai	Varškės produktai	Glaistyti varškės sūreliai,6.8,0.39,0.37,40
